epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,learning_rate
1,0.6545,61.36,0.5801,69.14,0.4444,0.001
2,0.5944,69.32,0.5484,75.31,0.5109,0.001
3,0.5569,73.86,0.5493,71.6,0.5972,0.001
4,0.5598,75.57,0.5399,76.54,0.6538,0.001
5,0.5584,68.75,0.4554,87.65,0.8053,0.001
6,0.5089,79.55,0.4571,83.95,0.7526,0.001
7,0.4785,84.09,0.48,79.01,0.6222,0.001
8,0.5249,76.14,0.4879,76.54,0.6385,0.001
9,0.4792,78.98,0.4875,76.54,0.5186,0.001
10,0.4297,84.09,0.4925,77.78,0.5877,0.0005
11,0.4239,85.23,0.4789,79.01,0.535,0.0005
12,0.4431,81.82,0.4825,76.54,0.5778,0.0005
13,0.4386,85.23,0.4834,79.01,0.6222,0.0005
