epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,learning_rate
1,0.6049,71.08,0.7819,41.51,0.318,0.001
2,0.5679,69.12,0.8545,45.28,0.4118,0.001
3,0.4586,83.33,0.7871,45.28,0.362,0.001
4,0.5121,75.49,0.8797,50.94,0.4532,0.001
5,0.4636,81.86,0.7578,56.6,0.4757,0.001
6,0.4753,79.9,0.83,52.83,0.4668,0.001
7,0.4488,81.37,0.6817,62.26,0.5147,0.001
8,0.4254,84.31,0.7171,62.26,0.5351,0.001
9,0.4443,81.37,0.7728,62.26,0.5351,0.001
10,0.3801,89.71,0.9157,52.83,0.4668,0.001
11,0.5074,77.94,0.7284,58.49,0.4661,0.001
12,0.4065,81.86,0.8115,60.38,0.4782,0.001
13,0.39,85.78,0.8668,52.83,0.4301,0.0005
14,0.3912,84.8,0.7432,60.38,0.4782,0.0005
15,0.3983,85.29,0.7836,56.6,0.4285,0.0005
16,0.3824,84.31,0.7846,54.72,0.4628,0.0005
