epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,learning_rate
1,0.6748,56.13,0.6692,60.0,0.5982,0.001
2,0.578,74.53,0.5965,71.11,0.7105,0.001
3,0.5731,71.23,0.5597,71.11,0.6561,0.001
4,0.534,74.06,0.5776,75.56,0.7202,0.001
5,0.4995,80.66,0.5584,80.0,0.7847,0.001
6,0.5247,75.47,0.5274,77.78,0.7296,0.001
7,0.4681,80.19,0.5205,82.22,0.8,0.001
8,0.457,81.13,0.5372,77.78,0.7575,0.001
9,0.4753,77.36,0.4952,77.78,0.7408,0.001
10,0.4478,82.08,0.5179,77.78,0.7575,0.001
11,0.4287,85.85,0.5156,75.56,0.709,0.001
12,0.4387,81.13,0.5416,75.56,0.7294,0.0005
13,0.4809,78.77,0.4928,77.78,0.7408,0.0005
14,0.4453,79.25,0.5122,84.44,0.8278,0.0005
15,0.4144,85.85,0.5187,80.0,0.7896,0.0005
16,0.3926,85.38,0.5011,77.78,0.75,0.0005
17,0.4663,78.3,0.5309,77.78,0.7637,0.0005
18,0.4069,83.49,0.4888,82.22,0.806,0.0005
19,0.4171,83.49,0.5041,80.0,0.7896,0.00025
20,0.4115,84.43,0.4697,80.0,0.7786,0.00025
21,0.4983,75.47,0.4741,77.78,0.75,0.00025
22,0.4572,82.55,0.4835,73.33,0.6889,0.00025
