epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,learning_rate
1,0.6889,55.2,0.5796,77.78,0.75,0.001
2,0.5872,74.21,0.5278,83.33,0.7778,0.001
3,0.5272,75.57,0.4814,77.78,0.75,0.001
4,0.5467,74.21,0.4631,77.78,0.7382,0.001
5,0.4765,81.9,0.4944,80.56,0.7855,0.001
6,0.5123,77.38,0.5164,75.0,0.7125,0.001
7,0.4584,81.45,0.4985,77.78,0.75,0.001
8,0.4828,78.28,0.5014,77.78,0.7231,0.001
9,0.4324,85.97,0.488,77.78,0.7382,0.001
10,0.4689,82.81,0.5114,77.78,0.7382,0.0005
11,0.4298,82.35,0.4862,75.0,0.7125,0.0005
12,0.4752,79.19,0.4889,75.0,0.7125,0.0005
13,0.4746,79.64,0.492,80.56,0.7647,0.0005
